event_id,user_id,timestamp,event_type,url
f26f5621-02cb-43a6-b542-6616945d7bf9,48986,2024-12-13 00:00:30,end_session,https://myfrontsite.com/contact
cccd8c23-c642-40bf-8631-b90ca2db8cf0,37016,2024-12-13 00:00:37,in-page,https://myfrontsite.com/contact
15d5cbcf-dd07-4b83-8f5b-c7ad133e4c49,32549,2024-12-13 00:02:35,conversion,https://myfrontsite.com/home
e8dbb325-f65b-48ac-b063-890f6efe6eb1,62972,2024-12-13 00:03:59,in-page,https://myfrontsite.com/checkout
8ca1a4d6-8a79-4996-add5-6b00b4959744,38252,2024-12-13 00:04:17,conversion,https://myfrontsite.com/home
6ad59f7f-9019-4738-9c95-24cbf91dd0c3,22850,2024-12-13 00:05:45,in-page,https://myfrontsite.com/display-product/1
c8571677-e789-4cf5-9765-ac8efc5d8771,38252,2024-12-13 00:06:58,in-page,https://myfrontsite.com/home
68b6d296-6728-49be-b6f9-ad177a28bfb8,37016,2024-12-13 00:07:31,conversion,https://myfrontsite.com/display-product/2
1eb20ed7-950a-439f-847c-02a90cd6a003,68620,2024-12-13 00:07:33,end_session,https://myfrontsite.com/contact
3423dd6f-c9a4-40d1-b8e8-d04b14a2f378,31243,2024-12-13 00:09:27,conversion,https://myfrontsite.com/home
babed790-bef9-4c08-96dd-7d80126ed986,47732,2024-12-13 00:10:33,conversion,https://myfrontsite.com/display-product/1
d598538e-db8f-42f0-9beb-5fb01972abc8,66826,2024-12-13 00:11:32,in-page,https://myfrontsite.com/display-product/1
ff411e8b-f67d-402c-9b6c-31a7fb543171,19563,2024-12-13 00:11:55,conversion,https://myfrontsite.com/buy-product
2e7dcbad-6ac4-49d0-903f-ed30599fd965,19563,2024-12-13 00:12:51,in-page,https://myfrontsite.com/display-product/2
f5d61be2-7f51-4c69-84ce-107500cd1d9a,22850,2024-12-13 00:13:27,in-page,https://myfrontsite.com/checkout
95401b2a-6c2a-4239-a541-9d09f69c8a5e,48986,2024-12-13 00:14:59,conversion,https://myfrontsite.com/checkout
acdf5327-402b-469f-9da2-3eea24724bfb,65429,2024-12-13 00:16:37,conversion,https://myfrontsite.com/search-products
884eb254-ea61-41d6-9c33-b5c9a792e653,62972,2024-12-13 00:17:48,in-page,https://myfrontsite.com/checkout
833ac262-3a94-47d1-90fe-6a1c09ee091d,38252,2024-12-13 00:18:11,in-page,https://myfrontsite.com/search-products
c867c5a6-aa77-474e-a848-d03f63c87e3a,48986,2024-12-13 00:19:48,conversion,https://myfrontsite.com/display-product/2
e9c40165-a357-401d-baab-d5f5bc9ea5b4,48986,2024-12-13 00:20:29,in-page,https://myfrontsite.com/buy-product
60865fe9-ddd1-401a-a6c3-0c8958de6708,48986,2024-12-13 00:20:30,in-page,https://myfrontsite.com/contact
3f3218e0-8a28-4fe7-ad44-855129fb223d,32549,2024-12-13 00:21:01,conversion,https://myfrontsite.com/search-products
1cd22112-4ec5-4454-81d8-0f8f3419e3a9,47732,2024-12-13 00:22:35,in-page,https://myfrontsite.com/checkout
0212fbe3-4c60-4caa-a1cb-d0dd1a53a405,94405,2024-12-13 00:23:01,in-page,https://myfrontsite.com/buy-product
348f3680-8424-48b4-90f1-0dbfee579a06,65429,2024-12-13 00:24:48,conversion,https://myfrontsite.com/search-products
589cf0c4-f0f3-4c87-bcf0-105314d322e8,62972,2024-12-13 00:26:24,conversion,https://myfrontsite.com/buy-product
c5a6511e-8170-4289-b589-208169658aee,68620,2024-12-13 00:26:32,in-page,https://myfrontsite.com/buy-product
2bf62956-31af-4a85-9077-152a1afb98c9,15483,2024-12-13 00:27:09,conversion,https://myfrontsite.com/contact
71ecd442-da41-460e-90a9-668f87c665ce,65429,2024-12-13 00:28:35,conversion,https://myfrontsite.com/contact
80b5cb21-c36b-4e02-aa93-48f833456705,22850,2024-12-13 00:28:55,end_session,https://myfrontsite.com/display-product/1
01a11bf2-9814-40f0-9ee6-b3696872f1a2,48986,2024-12-13 00:28:58,conversion,https://myfrontsite.com/display-product/1
61d33ec6-78f8-4111-be01-6d3db095e612,37016,2024-12-13 00:30:27,in-page,https://myfrontsite.com/search-products
ad4081a0-11a1-4420-ac92-19819748521e,66826,2024-12-13 00:30:45,in-page,https://myfrontsite.com/display-product/2
999c69e9-331f-4809-bf64-c2ec21c5bd90,15483,2024-12-13 00:31:05,conversion,https://myfrontsite.com/display-product/1
3f6bcaed-60e2-416a-9011-c9db671c451b,61284,2024-12-13 00:31:10,conversion,https://myfrontsite.com/display-product/1
47c67d3b-49a2-457c-8aa6-7963e2607746,68620,2024-12-13 00:33:03,end_session,https://myfrontsite.com/search-products
1419d4f8-e98a-438c-bf9f-2a69bd84d597,65429,2024-12-13 00:34:47,in-page,https://myfrontsite.com/contact
d82e4f55-8430-4fbe-9536-67721b931479,16232,2024-12-13 00:35:25,conversion,https://myfrontsite.com/search-products
5a16f055-5774-4667-97d8-81338e0a8a58,22850,2024-12-13 00:37:09,start_session,https://myfrontsite.com/contact
1fd04f21-174f-4441-a05a-8531eb41223b,66826,2024-12-13 00:37:36,conversion,https://myfrontsite.com/home
c7533086-5515-42e8-8250-5132ce0615a1,30040,2024-12-13 00:37:42,in-page,https://myfrontsite.com/display-product/2
c39930ac-18b2-4a34-a60f-67760f9229d2,96346,2024-12-13 00:39:10,in-page,https://myfrontsite.com/contact
6eb519c0-85ee-4ffa-9cf2-547ea379e464,48986,2024-12-13 00:39:45,start_session,https://myfrontsite.com/home
309dd190-a611-465c-a8ff-02bc7e837e3f,19563,2024-12-13 00:40:09,conversion,https://myfrontsite.com/search-products
2f30f58c-f26a-4bf0-aadc-e08506b2892f,32549,2024-12-13 00:40:38,conversion,https://myfrontsite.com/search-products
ff35b091-f29e-48b3-acff-0fd86fcd0669,19563,2024-12-13 00:42:10,end_session,https://myfrontsite.com/display-product/1
3406379c-5bff-4876-9443-80b8bdc6244d,47732,2024-12-13 00:43:01,in-page,https://myfrontsite.com/contact
16b43cea-9700-4b13-8591-0a0ae54b350a,86713,2024-12-13 00:43:29,conversion,https://myfrontsite.com/display-product/1
09173090-c4a1-4fb9-9d7a-9b663f767b28,32549,2024-12-13 00:43:45,conversion,https://myfrontsite.com/home
a3c6dadf-9ed8-4d10-9a25-0ea2e634df47,96346,2024-12-13 00:44:30,in-page,https://myfrontsite.com/search-products
79e3c7c3-97fb-4f34-8d7b-6a34c2fdc33f,47732,2024-12-13 00:46:06,in-page,https://myfrontsite.com/buy-product
693ef0ae-e3be-47a8-9670-7e14b7c65f7b,62972,2024-12-13 00:47:29,in-page,https://myfrontsite.com/display-product/1
6f93373f-78c9-4bf9-804f-c1fe8352a227,86713,2024-12-13 00:49:12,conversion,https://myfrontsite.com/home
718cac54-6e2a-43eb-a665-f18a3e931b53,37016,2024-12-13 00:50:46,in-page,https://myfrontsite.com/checkout
e88bdbbb-3279-4450-9fc6-0003c261b8af,15483,2024-12-13 00:50:57,end_session,https://myfrontsite.com/display-product/2
5d02bf49-d85c-45f0-b3aa-e12bb86750c5,19563,2024-12-13 00:51:21,in-page,https://myfrontsite.com/display-product/2
77490113-1200-4e2b-8ff9-9f656f753526,68620,2024-12-13 00:51:40,in-page,https://myfrontsite.com/display-product/2
f493e019-e530-439a-a0c6-4c18bfb9af9e,65429,2024-12-13 00:53:16,in-page,https://myfrontsite.com/search-products
33a384bc-6fe2-4c75-800c-5e2fbcc15301,22850,2024-12-13 00:53:34,conversion,https://myfrontsite.com/home
1671ec12-e99d-4cb4-a543-4a637f2c1978,65429,2024-12-13 00:53:56,in-page,https://myfrontsite.com/buy-product
3ef6d609-ab81-4ad9-b47b-5e39e7646ec6,32549,2024-12-13 00:54:35,conversion,https://myfrontsite.com/checkout
d79cc876-1482-4a3c-936b-499d12de7fa9,62972,2024-12-13 00:54:41,in-page,https://myfrontsite.com/buy-product
